model,validation_MAE,validation_RMSE,validation_sMAPE,MAE,RMSE,sMAPE,selected_params
linear_regression,11882.092237880035,19302.469933203658,38.89835525463084,9677.581988301103,14687.75096670781,36.540579212430394,ordinary_least_squares
ridge_regression,10085.333425901876,16900.434484959605,32.5833261141623,9477.40576314192,14769.90536502995,33.97183668096304,alpha=20.0
ridge_lightgbm_residual,10138.077750633924,17255.43515540427,29.28834816672627,9322.428654927424,15435.273860276151,32.75749416604922,ridge_alpha=20.0; residual_lightgbm=n_estimators=160; learning_rate=0.02; num_leaves=31; min_child_samples=12; subsample=0.85; colsample_bytree=0.85; reg_lambda=4.0
moving_average_3,10093.609339207047,17469.238729634137,25.323195266904808,9841.95269276394,16515.98788347728,26.69463631104159,window=3
lightgbm,11315.68294723719,19405.519740150336,28.064865305094322,9669.40511668197,17641.941764160914,30.528300552666675,n_estimators=80; learning_rate=0.06; num_leaves=31; min_child_samples=8; subsample=0.85; colsample_bytree=0.85; reg_lambda=0.0
naive_last_period,12464.603348017621,21191.929425903298,31.74477156560253,10798.330177935944,18373.12678002283,32.188647737115474,none
